topic,feature,value
0,location549,0.0229077453406
0,location548,-0.113725070297
0,location545,-0.0250864557189
0,location544,0.0446613323842
0,location547,0.0114065557592
0,location546,-0.00513668739228
0,location541,-0.0273013068402
0,location540,0.0180687373949
0,location543,-0.0926168232476
0,location542,0.0401608599351
0,artist1279,0.0278814784258
0,artist1278,-0.00132444773094
0,artist1273,0.011211526998
0,artist1271,-0.00963645454967
0,artist1270,0.0120011975328
0,artist1277,0.0514282101284
0,artist1274,-0.00793016554097
0,artist460,0.0531488777428
0,artist461,0.123411985474
0,artist463,0.006887294041
0,artist464,0.00406236846214
0,artist465,0.00887150534914
0,artist466,0.0906936909733
0,artist467,-0.0204606611077
0,artist468,0.00412674183328
0,artist96,-0.00103351231426
0,artist97,-0.0772543402177
0,artist94,0.165532083813
0,artist95,-0.0307493378239
0,artist92,0.0466576510312
0,artist93,-0.163664965781
0,artist90,0.0297638605756
0,artist91,-0.0836299550293
0,artist98,0.0293061124968
0,artist99,-0.0111320471081
0,artist1059,-0.0543288841847
0,artist1058,-0.00555194686477
0,artist1057,0.0113514653925
0,artist1056,-0.123090279266
0,artist1055,0.0167033993214
0,artist1054,0.00993754517216
0,artist1053,-0.0379171992943
0,artist1052,-0.117568631174
0,artist1051,-0.0543880788994
0,artist1050,0.0889971911442
0,artist1471,-0.00139026233169
0,artist1470,-0.0291093386896
0,artist1690,-0.0247497006533
0,artist1693,0.0199838289518
0,artist1692,0.0324882429941
0,artist1694,-0.0250864557189
0,artist1697,-0.0289458673454
0,artist1473,-0.0293389830095
0,artist1698,-0.00445410255897
0,artist671,0.0295352063104
0,artist670,0.0306936008018
0,artist673,0.00708462545666
0,artist672,0.00991987750962
0,artist675,-0.0306377141843
0,artist674,0.00612326877174
0,artist676,-0.0309620226162
0,artist679,0.100239323863
0,artist678,0.00947890611254
0,artist1459,-0.0283478338646
0,artist1448,0.0266486739719
0,artist587,-0.162873992393
0,artist586,-0.0708866030797
0,artist585,-0.0209744223711
0,artist785,0.0463454949397
0,artist784,0.0135613078273
0,artist787,0.0052583452007
0,artist786,0.0277900960116
0,artist780,0.0768596799606
0,artist783,0.0972528828099
0,artist782,-0.0437450640864
0,artist851,0.0100313783686
0,artist789,0.0609451583366
0,artist788,0.0645407789076
0,artist1440,-0.104502982913
0,artist580,0.0059048032401
0,artist1441,0.0142633906569
0,artist1443,-0.00911646482753
0,artist259,-0.0326096592162
0,artist258,0.00110974112232
0,artist253,0.188262836848
0,artist252,0.00718608215827
0,artist251,0.0210018153304
0,artist250,-0.0157552253685
0,artist257,-0.00269469194214
